24-Aug,44,42,20,,1,68,80,53,,24,,338,82,7,47,446,209,24,227,131,2,2,40,83,536,648,1281,320,316,6,102,,127,146,135,,229,148,411,136,566,610,222,459,
25-Aug,25,31,21,,3,10,48,22,,9,,153,328,45,163,186,156,17,264,144,13,22,79,292,391,1145,1646,242,17,39,53,8,74,113,209,73,89,331,37,1187,487,648,178,,
26-Aug,16,44,13,,4,12,38,5,,42,,155,367,46,16,162,427,192,367,706,8,7,64,210,71,322,515,376,23,88,54,22,105,74,12,225,232,226,17,436,112,830,391,539,
27-Aug,35,22,0,,2,56,88,10,,31,,79,236,109,27,228,197,110,245,46,7,74,81,270,240,266,696,555,73,0,69,111,33,92,347,23,78,127,0,105,331,376,374,710,8
28-Aug,23,11,4,,3,20,78,27,,26,,81,261,107,64,63,170,25,114,42,,2,51,544,260,153,546,164,36,40,54,74,64,49,128,223,44,252,262,66,173,536,255,410,16
29-Aug,25,17,7,,6,9,,,,25,,140,201,23,202,80,229,,,150,,1,47,252,100,142,1246,53,8,15,59,38,36,101,54,207,31,338,288,31,444,532,942,220,26
30-Aug,32,23,7,,5,17,,,,26,,72,111,86,35,182,207,,,447,,3,51,967,127,252,626,490,32,6,80,53,57,28,221,,15,253,175,44,150,412,236,475,
31-Aug,30,10,5,,12,8,,,,34,,42,207,183,25,77,69,,,111,,2,29,236,119,400,,349,17,41,18,96,104,62,126,,105,371,120,29,171,251,274,729,
1-Sep,14,6,18,,4,25,,,,27,,70,176,82,98,108,,,,762,,6,22,81,486,598,,304,6,63,37,46,4,103,,,20,122,126,417,174,313,100,776,
2-Sep,15,20,6,,1,27,,,,26,,79,64,48,,,,,,358,,16,21,233,142,200,,373,22,68,158,13,10,38,,,31,307,,65,57,,44,776,
3-Sep,23,,0,,1,25,,,,7,,21,,3,,,,,,251,,7,68,175,397,321,,377,44,12,66,76,,,,,12,244,,3,136,,209,475,
4-Sep,0,,,,0,18,,,,12,,253,,,,,,,,57,,0,39,405,683,188,,287,18,13,24,56,,,,,32,224,,113,91,,,797,
5-Sep,4,,,,0,21,,,,5,,7,,,,,,,,178,,4,20,354,239,146,,505,5,17,12,14,,,,,,256,,80,58,,,,
6-Sep,5,,,,2,12,,,,24,,8,,,,,,,,358,,2,13,159,95,81,,236,6,31,80,,,,,,,54,,28,,,,,
7-Sep,0,,,,0,11,,,,6,,3,,,,,,,,,,0,26,59,131,290,,161,6,7,,,,,,,,253,,,,,,,
8-Sep,0,,,,0,5,,,,7,,14,,,,,,,,,,2,,129,151,157,,311,,,,,,,,,,,,,,,,,
9-Sep,0,,,,1,3,,,,3,,36,,,,,,,,,,1,,40,,89,,257,,,,,,,,,,,,,,,,,
10-Sep,0,,,,1,5,,,,1,,7,,,,,,,,,,0,,55,,96,,,,,,,,,,,,,,,,,,,
11-Sep,2,,,,1,4,,,,7,,17,,,,,,,,,,0,,169,,36,,,,,,,,,,,,,,,,,,,
12-Sep,1,,,,0,2,,,,2,,32,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,
13-Sep,0,,,,0,8,,,,3,,63,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
14-Sep,0,,,,0,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
15-Sep,0,,,,0,3,,,,4,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
16-Sep,0,,,,0,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Sep,1,,,,0,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Sep,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Sep,0,,,,0,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Sep,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Sep,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Sep,0,,,,0,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Sep,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Sep,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Sep,0,,,,0,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Sep,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Sep,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Sep,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Sep,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Oct,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Oct,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Oct,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Oct,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Oct,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Oct,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
